时间,第一产业固定资产投资额累计增长(%),农林牧渔水利业固定资产投资额累计增长(%),第二产业固定资产投资额累计增长(%),工业固定资产投资额累计增长(%),能源工业固定资产投资额累计增长(%),煤炭固定资产投资额累计增长(%),石油固定资产投资额累计增长(%),电力固定资产投资额累计增长(%),原材料工业固定资产投资额累计增长(%),冶金固定资产投资额累计增长(%),有色固定资产投资额累计增长(%),化工固定资产投资额累计增长(%),森林固定资产投资额累计增长(%),机械电子工业固定资产投资额累计增长(%),机械固定资产投资额累计增长(%),电子固定资产投资额累计增长(%),轻纺工业固定资产投资额累计增长(%),纺织固定资产投资额累计增长(%),轻工固定资产投资额累计增长(%),其他工业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),第三产业固定资产投资额累计增长(%),运输邮电通信业固定资产投资额累计增长(%),邮电通信业固定资产投资额累计增长(%),商业饮食供销仓储业固定资产投资额累计增长(%),房地产公用服务咨询业固定资产投资额累计增长(%),文教卫生广播福利业固定资产投资额累计增长(%),科研综合技术服务业固定资产投资额累计增长(%),金融保险业固定资产投资额累计增长(%),其他行业固定资产投资额累计增长(%)
2002年3月,11.7,11.7,24.9,24.1,15.4,85.5,30.8,8.1,46.8,38.1,48.1,52.5,196.4,40.9,69.2,12.1,13,7.2,14.9,17.9,67.2,27.4,11.8,-0.6,13.8,36.3,23.4,36,19.7,35.7
2002年2月,35.6,35.6,16.5,16.9,16,190.7,40.9,5.8,34.4,25,23.2,46,204.5,24.8,54.6,2.5,-11.9,-0.7,-14.6,38,1.1,27.7,31.3,76.1,-13.8,27.1,29.9,43.3,11.4,31.1
2002年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年12月,-1.99,-2,7.83,7.5,-3.6,10.7,10.1,-8.9,17,21.6,47.1,8.2,-20,21.7,22.9,20.1,23.9,32,21.7,13.6,18.4,17.57,13.7,19.7,2.7,24.1,20.5,11,4.1,4.5
2001年11月,-5.3,-5.3,11.4,10.4,-1.5,20.4,13.7,-7.3,25.3,44.8,63.5,5.3,19,25.4,28.4,21.8,27,46.5,22.3,14.4,50.5,20.1,13.9,27.5,2,28.6,20.9,20.4,-15.6,9.4
2001年10月,-5.5,-5.5,13,12,-0.7,17.8,20.4,-7.8,23.1,42.1,67.1,1.8,48.5,32.2,31.2,33.4,28.8,50.6,23.3,21.8,53.3,21,12.9,30.2,2.6,30.7,23.5,23.1,-15.8,10.4
2001年9月,-6.3,-6.3,13.5,12.5,-0.5,21.1,26,-9.1,24.3,40.9,68.9,3.9,47.1,35.9,32.6,39.9,26.6,49.6,20.9,22.6,51.1,22,15,32.3,4.1,31.9,24.1,25.4,-15.3,5.2
2001年8月,-8,-8,12.8,12,-1,23.1,25.1,-9.1,20.8,35.1,75.9,-0.1,32.1,35.1,27.1,44.5,28.2,51.4,22.5,25.8,42.1,23.8,18.6,38,6.9,32,25.2,42.3,-16.1,6.1
2001年7月,-10.2,-10.2,12,11,-2.7,14,24.1,-10.9,16.1,25.9,69.2,-1.9,28.7,41.5,28.3,59,27.1,57,20.2,26.8,55.6,23.8,18.1,37.7,6,32.3,26.4,52.9,-16.6,5.1
2001年6月,-11.6,-11.6,11.5,10.6,-1.9,21,24.5,-10.1,13.6,19.4,70.6,-3.4,124.5,36.2,22.5,54.5,27.4,67.7,18.8,28.1,50.3,24.3,19.3,46.9,10.9,32.3,24.8,58.3,-18.9,5.7
2001年5月,-11.4,-11.4,10.7,10.1,-1.8,2.8,32.7,-10.6,13.8,29.2,78.4,-8.7,26,38.6,22.2,60.5,28.9,78.4,18.6,15.7,37.2,23.3,19.3,46.7,17.5,27.9,31.6,69.6,-23.6,6.2
2001年4月,-8.8,-8.8,8.8,8.5,-5.9,2.8,24.5,-13.8,13.3,18.9,85.6,-5.6,46.5,43.3,25.8,65.6,33.7,96.8,21.6,7.7,21.8,22.2,20.5,39.3,19.2,25.4,29.2,70.6,-22.7,3.5
2001年3月,-0.3,-0.3,8.8,8.5,-6.9,-5.7,23.2,-14.1,5.7,5.3,67.7,-7.2,-25.2,46.2,24,78.6,38.2,126.6,22.4,27.8,25.9,19.5,15.2,8.8,17,23.4,40.6,2.5,-30.8,-0.6
2001年2月,-3.2,-3.2,9.3,8,-5.3,-50.7,-0.1,-5.5,-0.7,-7.9,49.9,-6.5,87.7,48.4,10.6,99.5,35.5,132.2,23.1,14.2,101.7,24.3,12.3,-0.2,24.4,25,39.2,62.5,-37.5,22
2001年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年12月,8,8,9,9.3,10.3,-7.9,7,12.8,2.1,-5.3,34.5,-0.8,57.5,18.2,3,47.6,9.8,51.1,2.5,0.4,0.4,10.1,7.2,24.1,2.9,18.4,13.6,31.8,-23.1,-10.9
2000年11月,13.8,13.8,10.5,10.8,10.9,-4.4,3.7,14.3,-0.9,-19.9,30.3,5.7,85.2,24.2,3.7,62.6,12,47,5.9,10.7,2.3,12.2,5.4,26.6,5.3,21.6,16.9,64.8,-19.5,-2.5
2000年10月,14.7,14.7,9,9.2,9.9,-7.1,2.5,13.4,-3,-22.9,29.8,4.6,45.1,20,0.7,56.3,13.4,47.8,7.2,5.1,1.4,14.4,10,30.5,4.8,22.1,19.9,58.4,-18.2,-2.5
2000年9月,14.7,14.7,9.8,9.8,10.8,-9.7,-0.5,15.7,-6.2,-25.2,28.5,0.4,60.7,23.9,4.8,59.3,15.4,47.3,9.6,6.4,9.1,14.4,9.2,33.2,8.7,22,22.2,46.6,-17.8,-1.4
2000年8月,13.7,13.7,10.1,10.1,12.8,-14.5,2.7,17.7,-7.9,-28.8,30.1,0.7,49,22,3.4,56.7,13.4,35.5,9.4,6.7,9.5,14,8.6,36.4,3.6,22.2,20.2,29.7,-18.8,-0.8
2000年7月,15.6,15.6,10.1,10.3,14,-14.4,4.7,18.7,-5.3,-29.3,37.3,5.8,46.9,15.8,0.3,45.2,15.6,33.2,12.2,-1.3,2.8,13.8,7.5,36.3,5.8,21.5,19.9,15.8,-15.2,2.6
2000年6月,14,14,11.4,11.5,16.7,-22.6,5.6,22.7,-5,-30,36.1,8.7,-16.4,12.7,-2.2,41.6,15.1,31.4,12.1,2.2,5.5,12.4,4.8,30.9,5.7,20.2,20.8,15.9,-8.7,2.6
2000年5月,14.6,14.6,9.1,9.3,16.1,-14.9,-1.7,23.3,-7,-33.2,26.2,9.8,10.6,4,-9.6,30,13.3,17,12.5,-1,0.2,9.4,-1,22.1,-4.2,20.1,14.6,9.5,-9.8,-0.2
2000年4月,13.8,13.8,8.2,8.6,15,-27.4,3,20.6,-7.6,-33,21.4,11.3,49.7,8.6,-13.8,62.4,9.6,4.2,10.7,-0.9,-11,9.6,-0.2,17.8,-5.2,18.6,17.3,21.4,-5.6,1.1
