,时间,年末总人口(万人),人口出生率(‰),avage_people,new_people,house_27,house_42,house_people
30,2033年,,,,,1580.84004,2250.07344,3830.91348
29,2034年,,,,,1590.5208,2112.61152,3703.1323199999997
28,2035年,,,,,1604.0460600000001,2119.62339,3723.6694500000003
27,2036年,,,,,1586.9839,2097.7509,3684.7348
26,2037年,,,,,1588.055,2051.8320000000003,3639.8870000000006
25,2038年,,,,,1779.3875699999999,2056.63458,3836.02215
24,2039年,,,,,1965.72612,2027.9857299999999,3993.7118499999997
23,2040年,,,,,1771.06366,1933.5106400000002,3704.5743
22,2041年,,,,,1890.92058,1826.50104,3717.42162
21,2042年,,,,,1650.37554,1764.77758,3415.15312
20,2043年,,,,,1877.08382,1695.8213400000002,3572.9051600000003
19,2044年,,,,,1759.89248,1641.28322,3401.1757
18,2045年,,,,,1520.51946,1594.10173,3114.62119
17,2046年,,,,,1463.03181,1588.1998299999998,3051.23164
16,2047年,,,,,1201.38816,1611.8512,2813.23936
15,2048年,,,,,1061.91424,1580.84004,2642.75428
14,2049年,,,,,,1590.5208,
13,2050年,,,,,,1604.0460600000001,
12,2051年,,,,,,1586.9839,
11,2052年,,,,,,1588.055,
10,2053年,,,,,,1779.3875699999999,
9,2054年,,,,,,1965.72612,
8,2055年,,,,,,1771.06366,
7,2056年,,,,,,1890.92058,
6,2057年,,,,,,1650.37554,
5,2058年,,,,,,1877.08382,
4,2059年,,,,,,1759.89248,
3,2060年,,,,,,1520.51946,
2,2061年,,,,,,1463.03181,
1,2062年,,,,,,1201.38816,
0,2063年,,,,,,1061.91424,
