数据库：年度数据,,,,,,,,,,,,,,,,
时间：1949-,,,,,,,,,,,,,,,,
时间,支出法生产总值(亿元),最终消费(亿元),居民消费(亿元),城镇居民消费(亿元),农村居民消费(亿元),政府消费(亿元),资本形成总额(亿元),固定资本形成总额(亿元),存货变动(亿元),货物和服务净出口(亿元),最终消费率(%),资本形成率(%),,固定资产投资占比,全社会固定资产投资,投资率
1988年,15210.5,9429.4,7532.1,3380.5,4151.6,1897.2,5932.2,4713.9,1218.3,-151.2,62,39,0.309910917,0.390006903,4754,0.312547254
1987年,12198,7643.5,6047.6,2576.1,3471.5,1595.9,4543.7,3720.4,823.3,10.8,62.7,37.2,0.30500082,0.372495491,3792,0.310870635
1986年,10390.3,6730.8,5293.5,2180.5,3113,1437.3,3914.6,3212.4,702.2,-255.2,64.8,37.7,0.309172979,0.376755243,3121,0.300376313
1985年,9108.1,5920.8,4627.4,1840.7,2786.7,1293.3,3554.4,2768.9,785.5,-367.1,65,39,0.304004128,0.390246045,2543,0.279202029
1984年,7290.1,4786.6,3689.5,1438.4,2251.2,1097.1,2502.2,2134.1,368.1,1.3,65.7,34.3,0.292739469,0.343232603,1833,0.25143688
1983年,6034.2,4061.2,3220.9,1196.5,2024.4,840.3,1922.2,1696.5,225.7,50.8,67.3,31.9,0.281147459,0.318550926,1430,0.236982533
1982年,5386.3,3576.8,2867.1,1049.7,1817.4,709.7,1718.4,1517.4,201,91.1,66.4,31.9,0.281714721,0.319031617,1230,0.228357128
1981年,4921.6,3278.2,2627.5,1017.2,1610.4,650.7,1626.3,1345.4,280.9,17.1,66.6,33,0.273366385,0.33044132,961,0.195261704
1980年,4540.5,2967.7,2336.9,922,1414.9,630.8,1587.5,1310.2,277.3,-14.7,65.4,35,0.288558529,0.349631098,910.9,0.200616672
1979年,4047.3,2579,2014,759.3,1254.6,565,1488.3,1162.5,325.8,-20,63.7,36.8,0.287228523,0.367726633,,
1978年,3605.6,2233.6,1759.1,666.7,1092.4,474.5,1383.3,1079.3,304,-11.4,61.9,38.4,0.299339916,0.383653206,,
1977年,3166.5,2055.3,1647.8,,,407.5,1101.1,914.1,187,10.1,,,0.288678351,0.347734091,,
1976年,2968.8,1967.2,1588.5,,,378.7,992.8,867.8,125,8.8,,,0.292306656,0.33441121,,
1975年,2949.9,1884.2,1528.5,,,355.7,1064.9,882.9,182,0.7,,,0.299298281,0.360995288,,
1974年,2739.8,1807.7,1467,,,340.7,939,751,188,-6.9,,,0.274107599,0.342725746,,
1973年,2672,1748.9,1432.5,,,316.4,908.3,669.3,239,14.8,,,0.250486527,0.339932635,,
